V,I,G,P,no_module_fault,fault,partial_shading
138.86333,9.88459,843.04214,1372.6070830847,0,0,0
142.23654,9.88314,843.11899,1405.7436379356,0,0,0
141.06989,9.90564,842.96443,1397.3875451796,0,0,0
136.85918,9.91894,843.28549,1357.4979948692,0,0,0
139.74776,9.86338,843.17371,1378.3852610288,0,0,0
140.8481,9.87366,842.93781,1390.686251046,0,0,0
138.50919,9.87152,842.99572,1367.2962392688,0,0,0
139.58873,9.87994,843.01446,1379.1282770762,0,0,0
139.97269,9.89795,842.92334,1385.4426869855,0,0,0
138.26781,9.88907,842.9227,1367.3400518367,0,0,0
139.22689,9.85377,842.80815,1371.9097518753,0,0,0
139.88163,9.77444,843.16477,1367.2645995372,0,0,0
138.29373,9.76041,843.40301,1349.8035052293,0,0,0
142.43282,9.79336,843.50669,1394.8958820752,0,0,0
136.20317,9.78877,843.0119,1333.2615044009,0,0,0
138.69894,9.76398,842.91333,1354.2536761812,0,0,0
138.39333,9.77249,843.1603,1352.4474334917,0,0,0
138.9555,9.80788,843.15838,1362.85886934,0,0,0
140.74232,9.77851,843.06364,1376.2501835432,0,0,0
138.151,9.7949,843.15221,1353.1752299,0,0,0
140.98896,9.78021,842.90226,1378.9016364816,0,0,0
142.27891,9.76236,842.62442,1388.9779398276,0,0,0
139.96226,9.7695,842.52457,1367.36129907,0,0,0
138.86121,9.80387,842.54351,1361.3772508827,0,0,0
139.636,9.82359,842.82668,1371.72681324,0,0,0
141.35105,9.76396,842.94952,1380.145998158,0,0,0
140.87316,9.71745,842.33295,1368.927888642,0,0,0
140.36545,9.81828,842.59823,1378.147290426,0,0,0
137.35125,9.83381,842.79751,1350.6860957625,0,0,0
143.13433,9.77392,842.43472,1398.9834906736,0,0,0
139.81143,9.76074,842.61271,1364.6630172582,0,0,0
140.60779,9.80612,842.48795,1378.8168616748,0,0,0
140.58324,9.79691,842.52158,1377.2813497884,0,0,0
140.30542,9.7749,842.70788,1371.471449958,0,0,0
140.20435,9.78911,842.57737,1372.4758046285,0,0,0
141.79833,9.81826,842.69255,1392.2128715058,0,0,0
141.91783,9.79093,842.73364,1389.5075392819,0,0,0
139.00035,9.77883,842.86798,1359.2607925905,0,0,0
142.57287,9.76716,842.47389,1392.5320329492,0,0,0
141.78982,9.76226,842.42088,1384.1890881932,0,0,0
139.38587,9.80375,842.57055,1366.5042230125,0,0,0
140.32496,9.77375,843.04086,1371.5010778,0,0,0
139.60457,9.79598,843.41685,1367.5635756286,0,0,0
137.36157,9.82524,843.07939,1349.6103920268,0,0,0
142.78844,9.76163,842.78601,1393.8479195572,0,0,0
139.79119,9.72919,843.17861,1360.0550478361,0,0,0
140.47311,9.79667,843.07343,1376.1687025437,0,0,0
140.82361,9.83125,842.92078,1384.4721158125,0,0,0
142.51871,9.78994,843.05427,1395.2496197774,0,0,0
138.28234,9.77335,843.03681,1351.481707639,0,0,0
139.34923,9.79481,843.30614,1364.8992314963,0,0,0
138.70112,9.83649,842.95293,1364.3321798688,0,0,0
138.37987,9.81168,842.91312,1357.7390028816,0,0,0
138.40791,9.76027,843.19053,1350.8985717357,0,0,0
140.6787,9.77471,843.25525,1375.093495677,0,0,0
134.74453,9.79632,842.74705,1320.0005341296,0,0,0
138.7411,9.77463,842.93781,1356.142918293,0,0,0
